diet,gender,age_group,participants,ghgs_median,land_median,eut_median,bio_median,water_use_median,relative_ghgs,relative_land,relative_eut,relative_bio,relative_water_use,relative_overall
meat low,All,20-29,895,5.452987234,8.160646875,23.17876097,261.3038189,743.7224226,48.10952386,33.99914157,56.26014647,62.36561008,77.57415465,55.66171533
meat low,All,30-39,1853,5.575670645,8.14043314,23.48147955,262.9409393,773.1201332,49.19191049,33.91492648,56.99491362,62.75634303,80.64049026,56.69971677
meat low,All,40-49,2541,5.656740337,8.424850706,23.45848218,266.4903931,759.4206427,49.90715593,35.09987581,56.93909374,63.60349428,79.21156145,56.95223624
meat low,All,50-59,2108,5.780568193,8.647210449,23.82166157,268.7225611,786.2941891,50.99963954,36.02627791,57.82061307,64.13624774,82.01461348,58.19947835
meat low,All,60-69,1411,5.8771553,8.853396582,24.22618937,274.7191383,801.1332246,51.85178893,36.88529701,58.80249443,65.56745605,83.56240282,59.33388785
meat low,All,70-79,524,5.915216741,8.916700133,24.26877496,278.2615638,811.6491041,52.1875898,37.14903424,58.90585938,66.41292984,84.65926428,59.86293551
meat low,All,All,9332,5.696913408,8.485679412,23.67983602,267.697545,775.9453803,50.26158686,35.35330227,57.47637007,63.89160625,80.93517838,57.58360877
meat medium,female,20-29,669,6.913346378,11.48390897,29.16989082,295.261416,853.0670372,60.99368809,47.84461979,70.8019869,70.47029938,88.97937222,67.81799327
meat medium,female,30-39,1350,7.135581667,11.9942615,29.22549341,305.726579,846.4207622,62.95438109,49.97086638,70.93694709,72.96802893,88.28613084,69.02327087
meat medium,female,40-49,2710,7.48415133,13.12407017,29.67412763,317.0367591,840.7022575,66.02967172,54.67791054,72.02588479,75.66743948,87.68966077,71.21811346
meat medium,female,50-59,2682,7.586115662,13.376783,29.50523749,317.6338983,853.522135,66.92926221,55.7307706,71.61594984,75.80995921,89.02684131,71.82255663
meat medium,female,60-69,1456,7.54123054,13.03055672,29.66459132,317.1013936,885.5940182,66.53325875,54.28831189,72.00273798,75.68286585,92.37210717,72.17585633
meat medium,female,70-79,450,7.611196495,13.55147331,29.84623449,324.0677819,884.0808362,67.15054036,56.45857082,72.44362745,77.3455398,92.21427435,73.12251055
meat medium,female,All,9317,7.437066263,12.92136995,29.53112122,314.3559764,855.2195586,65.61425902,53.83341457,71.67877556,75.02761474,89.20389151,71.07159108
meat medium,male,20-29,151,7.387087141,11.81375391,31.49161947,315.3292618,903.8172185,65.17331323,49.21883006,76.43735258,75.2599096,94.27288267,72.07245763
meat medium,male,30-39,304,7.594977983,12.45748133,31.79115926,327.7357784,894.9844505,67.00745092,51.90074731,77.16440406,78.22098374,93.35157858,73.52903292
meat medium,male,40-49,663,7.781512621,13.68422721,31.20309026,330.6722035,825.7048464,68.65317137,57.01165426,75.73702629,78.92182286,86.12535202,73.28980536
meat medium,male,50-59,671,7.75290013,13.73596567,30.63281191,321.3029928,851.2931918,68.40073481,57.22720866,74.35283049,76.68566518,88.79435083,73.09215799
meat medium,male,60-69,634,7.835827297,13.9717734,30.65972311,326.0344979,857.2477226,69.13236802,58.20963817,74.41815011,77.81493764,89.41543967,73.79810672
meat medium,male,70-79,231,8.02387393,14.81572881,30.94930772,329.4274206,870.016562,70.7914282,61.72575151,75.1210381,78.62472945,90.74729668,75.40204879
meat medium,male,All,2654,7.764540959,13.61754501,30.99079395,325.8779126,855.9459683,68.50343719,56.73384081,75.22173464,77.77756528,89.27965985,73.50324755
meat medium,All,20-29,820,7.000584007,11.54464871,29.59742866,298.9568364,862.4124974,61.76335077,48.09767558,71.83971887,71.35228858,89.9541528,68.60143732
meat medium,All,30-39,1654,7.220017265,12.07939984,29.69705473,309.7718007,855.3466155,63.69932258,50.32557243,72.0815341,73.93350551,89.21714421,69.85141577
meat medium,All,40-49,3373,7.54260094,13.23417516,29.97466194,319.7169547,837.7543525,66.54534923,55.13663336,72.7553502,76.30712409,87.38217879,71.62532714
meat medium,All,50-59,3353,7.619492452,13.44866238,29.73088689,318.3681549,853.0760804,67.22373227,56.03023673,72.16365247,75.98520487,88.98031548,72.07662836
meat medium,All,60-69,2090,7.630596255,13.31607413,29.96646383,319.8112444,876.9951898,67.32169668,55.4778434,72.73545152,76.32962829,91.47520421,72.66796482
meat medium,All,70-79,681,7.751179589,13.98031769,30.22040471,325.8858091,879.3101353,68.38555518,58.24523564,73.35182401,77.77944994,91.71666518,73.89574599
meat medium,All,All,11971,7.509668205,13.07571367,29.85473423,316.9104179,855.3806054,66.25479689,54.47644616,72.46425826,75.6372855,89.22068954,71.61069527
meat high,female,20-29,393,10.19126874,20.37857332,40.55897416,387.3900836,971.149334,89.91348516,84.90184785,98.44589323,92.45872871,101.2959759,93.40318618
meat high,female,30-39,778,10.42154841,21.11220035,39.66536519,394.7072269,963.7193514,91.94515049,87.95830764,96.27690016,94.20511768,100.5209897,94.18129314
meat high,female,40-49,1935,11.24212423,23.99733053,40.57825866,419.2771377,938.6140903,99.18476248,99.97842701,98.49270111,100.0692397,97.90237915,99.12550189
meat high,female,50-59,1753,11.57440159,24.93402638,40.68060687,424.9973255,960.196912,102.1163127,103.8809185,98.74112358,101.4344819,100.1535808,101.2652835
meat high,female,60-69,843,11.52047339,24.78021888,40.29917375,418.7591541,967.9023117,101.6405258,103.2401209,97.81529828,99.94561209,100.9572945,100.7197703
meat high,female,70-79,274,11.99085339,26.03113104,41.20529266,432.0518216,980.5623297,105.7905003,108.4517101,100.0146558,103.1181846,102.2778008,103.9305703
meat high,female,All,5976,11.23725277,23.8622002,40.47754668,416.1720657,956.4080526,99.14178356,99.41544284,98.24825013,99.32814945,99.75838287,99.17840177
meat high,male,20-29,132,12.10478221,24.33879299,49.9765201,452.8146113,1060.965921,106.7956486,101.4010386,121.304428,108.0736577,110.6643177,109.6478181
meat high,male,30-39,260,11.17886235,22.64574447,44.00591223,417.2945653,1020.447922,98.62662826,94.34740701,106.8123991,99.59605742,106.4380776,101.1641139
meat high,male,40-49,616,11.49386409,24.18543902,43.07765507,426.4205367,932.6192651,101.4057626,100.7621305,104.559307,101.774161,97.27708739,101.1556897
meat high,male,50-59,591,11.6780401,24.76549374,42.54071115,424.3045883,948.0523526,103.0306737,103.1787725,103.2560215,101.2691457,98.88683948,101.9242906
meat high,male,60-69,543,11.45017567,24.23766995,41.516002,419.9689388,963.5665073,101.0203171,100.9797366,100.7688183,100.2343525,100.5050473,100.7016544
meat high,male,70-79,168,12.26398743,26.71411594,43.00108133,446.0236547,982.8789451,108.2002525,111.2971831,104.3734451,106.4528542,102.519436,106.5686342
meat high,male,All,2310,11.58617866,24.3654882,43.06632225,426.2693878,964.7171624,102.2202171,101.512257,104.5317997,101.7380861,100.6250667,102.1254853
meat high,All,20-29,525,10.6723807,21.37428569,42.92681428,403.8396791,993.7317903,94.15814338,89.0502158,104.193182,96.38476801,103.6514447,97.48755078
meat high,All,30-39,1038,10.61124169,21.49632508,40.75259277,400.3649417,977.92882,93.61873837,89.55866009,98.9158498,95.55544941,102.0031119,95.93036192
meat high,All,40-49,2551,11.30291284,24.04275382,41.18179774,421.0020823,937.1664963,99.7210761,100.167671,99.95762829,100.4809337,97.75138749,99.61573931
meat high,All,50-59,2344,11.60053229,24.89153373,41.14960074,424.8226635,957.1348665,102.3468534,103.7038843,99.87947881,101.3927952,99.83419338,101.431441
meat high,All,60-69,1386,11.49293251,24.56766183,40.7758965,419.2331173,966.2036524,101.3975436,102.3545591,98.97241328,100.0587333,100.7801154,100.7126729
meat high,All,70-79,442,12.09466905,26.29072711,41.88785487,437.3623826,981.4428532,106.7064242,109.5332474,101.6713902,104.3856608,102.3696441,104.9332733
meat high,All,All,8286,11.33452755,24.00250859,41.19925457,418.9870324,958.7244952,100,100,100,100,100,100
